team_name,total_races,total_points,avg_points
Ferrari,312,2335,7.483974358974359
McLaren,277,1980,7.148014440433213
Red Bull,156,958,6.141025641025641
Renault,216,1236,5.722222222222222
Williams,182,967,5.313186813186813
Toyota,130,535,4.115384615384615
Sauber,121,402,3.322314049586777
